#                                                                                                running time (s)                 
#                                                                                         -------------------------------          
# idx  seq name                        length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  ------------------------------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   21  GG700633.1/585792-585964           173        1      171     no     99.19   0.922       0.00       0.01       0.01      1.61
   22  JH165062.1/134315-134458           144        1      171     no     80.26   0.872       0.00       0.02       0.02      2.34
   23  CP000679.1/677416-677612           197        1      171     no     92.81   0.852       0.00       0.02       0.02      2.41
   24  LM995447.1/1214263-1214105         159        1      171     no    100.28   0.915       0.00       0.01       0.01      1.23
   25  FR880072.1/88662-88813             152        1      171     no     89.32   0.933       0.00       0.01       0.01      1.49
   26  CP000764.1/163982-164138           157        1      171     no    123.27   0.959       0.00       0.01       0.01      1.24
   27  KK222758.1/53350-53142             209        1      171     no    123.76   0.917       0.00       0.01       0.01      1.70
   28  FQXM01000006.1/191340-191185       156        1      171     no    106.09   0.947       0.00       0.01       0.02      1.50
   29  HF999313.1/4416-4568               153        1      171     no     93.26   0.950       0.00       0.03       0.03      2.43
   30  MEFT01000138.1/3371-3524           154        1      171     no     74.15   0.929       0.00       0.03       0.03      2.82
   31  AE000513.1/302517-302694           178        1      171     no     41.94   0.914       0.00       0.08       0.09      6.00
   32  AKKV01000005.1/6599-6765           167        1      171     no    125.22   0.974       0.01       0.02       0.02      1.24
   33  EQ973344.1/36653-36501             153        1      171     no     67.44   0.919       0.00       0.03       0.04      3.29
   34  FR898135.1/36981-37138             158        1      171     no     87.85   0.892       0.00       0.02       0.02      2.48
   35  FQXV01000008.1/147200-147042       159        1      171     no     89.45   0.947       0.00       0.02       0.02      1.92
   36  LGCI01000001.1/14614-14786         173        1      171     no    114.83   0.922       0.00       0.01       0.01      1.43
   37  CP015436.1/2977798-2977968         171        1      171     no    135.75   0.922       0.00       0.01       0.01      1.18
   38  GL538352.1/148517-148681           165        1      171     no    118.62   0.946       0.00       0.01       0.01      1.18
   39  KI271673.1/13375-13219             157        1      171     no     66.05   0.882       0.00       0.03       0.03      3.16
   40  CP003184.1/1104793-1104947         155        1      171     no    107.17   0.947       0.00       0.01       0.01      1.21
   41  APML01000007.1/67203-67033         171        1      171     no    114.02   0.930       0.01       0.01       0.02      1.38
   42  MRTD01000034.1/18214-18006         209        1      171     no     62.02   0.835       0.01       0.02       0.03      2.40
   43  FRCF01000004.1/686-837             152        1      171     no     99.09   0.975       0.00       0.05       0.05      1.30
   44  KB976103.1/576308-576141           168        1      171     no    104.93   0.958       0.01       0.02       0.02      1.30
   45  MNSY01000086.1/687-490             198        1      171     no     55.62   0.873       0.01       0.04       0.05      3.51
   46  LMZU01000039.1/16439-16272         168        1      171     no     59.91   0.892       0.01       0.02       0.02      2.19
   47  CP002216.1/2164622-2164454         169        1      171     no     91.86   0.870       0.00       0.02       0.02      2.12
   48  ADFP01000071.1/49622-49795         174        1      171     no     84.68   0.915       0.00       0.01       0.02      1.51
   49  LBMD01000017.1/8654-8825           172        1      171     no    120.97   0.945       0.00       0.01       0.01      1.36
   50  FR899424.1/28096-27950             147        1      171     no     68.21   0.939       0.00       0.03       0.04      3.11
   51  LOES01000015.1/40010-40161         152        1      171     no     94.03   0.973       0.00       0.02       0.03      1.90
   52  CP000382.1/271835-272131           297        1      171     no     98.78   0.798       0.01       0.03       0.04      3.05
   53  LVJI01000034.1/14537-14764         228        1      171     no     66.71   0.808       0.00       0.03       0.03      3.24
   54  LCOY01000061.1/5647-5870           224        1      171     no     74.59   0.809       0.00       0.03       0.03      3.07
   55  GG666055.1/42711-42568             144        1      171     no     80.05   0.924       0.00       0.01       0.02      1.66
   56  NIBQ01000002.1/829798-829946       149        1      171     no     87.27   0.943       0.00       0.01       0.02      1.80
   57  FQZO01000003.1/574147-574474       328        1      171     no     93.32   0.842       0.01       0.03       0.03      3.64
   58  AE017334.2/157527-157682           156        1      171     no    119.96   0.959       0.01       0.01       0.02      1.18
   59  CP002901.1/825642-825793           152        1      171     no     68.82   0.933       0.00       0.02       0.03      2.52
   60  KB850956.1/2433259-2433108         152        1      171     no    105.98   0.966       0.00       0.01       0.01      1.33
   61  GL622359.1/555391-555539           149        1      171     no     86.17   0.913       0.00       0.01       0.02      1.73
   62  JXRP01000006.1/10208-10371         164        1      171     no    116.06   0.934       0.00       0.01       0.01      1.36
   63  CP000141.1/1796458-1796308         151        1      171     no    102.52   0.958       0.00       0.01       0.01      1.28
   64  ALJL01000028.1/59564-59409         156        1      171     no     65.37   0.873       0.00       0.03       0.03      3.39
   65  KI391971.1/1331590-1331441         150        1      171     no     70.88   0.820       0.00       0.02       0.02      2.15
   66  ACJM01000001.1/237597-237750       154        1      171     no    120.14   0.933       0.00       0.01       0.01      1.18
   67  LDYG01000046.1/66994-66836         159        1      171     no    112.84   0.945       0.00       0.01       0.01      1.21
   68  CP022315.1/976632-976459           174        1      171     no    112.27   0.916       0.00       0.01       0.01      1.57
   69  LTBB01000007.1/104135-104341       207        1      171     no     95.14   0.872       0.00       0.02       0.02      2.09
   70  FRAJ01000008.1/118574-118404       171        1      171     no    117.84   0.922       0.00       0.01       0.01      1.38
   71  CP007161.1/221507-221678           172        1      171     no    115.17   0.912       0.00       0.01       0.01      1.33
   72  HF999523.1/209970-209813           158        1      171     no     92.05   0.953       0.00       0.02       0.02      1.79
   73  FMDO01000049.1/22932-22779         154        1      171     no    112.34   0.967       0.00       0.01       0.01      1.19
   74  AP008230.1/5091267-5091094         174        1      171     no    100.52   0.890       0.00       0.01       0.02      1.57
   75  AWTC01000026.1/3638-3464           175        1      171     no     98.24   0.899       0.00       0.02       0.02      1.51
   76  LQYX01000075.1/7803-7975           173        1      171     no    137.34   0.960       0.00       0.01       0.01      1.20
   77  FP929045.1/991379-991564           186        1      171     no     63.67   0.866       0.00       0.08       0.08      5.49
   78  LJJC01000004.1/94654-94814         161        1      171     no    125.70   0.960       0.00       0.01       0.01      1.17
   79  AUPA01000003.1/17391-17658         268        1      171     no     98.60   0.772       0.00       0.02       0.02      2.57
   80  CTRP01000005.1/132594-132747       154        1      171     no     97.69   0.956       0.00       0.01       0.01      1.31
   81  JH601090.1/1189090-1188933         158        1      171     no     84.01   0.933       0.00       0.02       0.02      1.87
   82  FR881585.1/19876-20083             208        1      171     no     68.18   0.901       0.00       0.02       0.03      2.80
   83  AP009484.1/338170-338321           152        1      171     no    102.71   0.966       0.00       0.01       0.01      1.32
   84  FR885230.1/36283-36132             152        1      171     no     77.48   0.948       0.00       0.01       0.01      1.48
   85  CP001739.1/2488052-2488211         160        1      171     no     89.41   0.934       0.00       0.01       0.01      1.52
   86  KE150418.1/918459-918673           215        1      171     no    128.32   0.845       0.00       0.01       0.01      1.67
   87  CP003198.1/1010591-1010431         161        1      171     no     90.45   0.938       0.00       0.01       0.02      1.70
   88  GL636577.1/870143-869998           146        1      171     no     87.07   0.940       0.00       0.02       0.02      2.27
   89  AL009126.3/200017-200187           171        1      171     no    140.43   0.951       0.00       0.01       0.01      1.14
   90  MFZG01000009.1/12073-11886         188        1      171     no     57.38   0.940       0.00       0.11       0.11     10.41
   91  LZZM01000011.1/8814-8618           197        1      171     no     68.53   0.920       0.00       0.02       0.03      2.97
   92  FR888019.1/33838-33684             155        1      171     no     91.50   0.932       0.00       0.02       0.02      2.54
   93  LFZU01000001.1/76301-76467         167        1      171     no    127.13   0.958       0.00       0.01       0.01      1.19
   94  CBXI010000040.1/175962-175727      236        1      171     no    104.38   0.899       0.00       0.02       0.02      2.33
   95  FTOC01000022.1/9526-9700           175        1      171     no    113.20   0.943       0.00       0.01       0.01      1.36
   96  JPZM01000043.1/7205-7372           168        1      171     no    112.61   0.930       0.00       0.01       0.01      1.42
   97  CP003639.1/642806-642961           156        1      171     no    109.46   0.946       0.00       0.01       0.01      1.26
   98  JAQV02000025.1/52461-52293         169        1      171     no    125.09   0.936       0.00       0.01       0.01      1.21
   99  AVPG01000043.1/2431-2268           164        1      171     no    108.45   0.923       0.00       0.01       0.01      1.32
  100  ABCF01000019.1/12592-12759         168        1      171     no    126.52   0.948       0.00       0.01       0.01      1.15
  101  JXKM01000008.1/88766-88909         144        1      171     no     77.43   0.909       0.00       0.02       0.03      2.71
  102  LWLV01001960.1/645-485             161        1      171     no     77.58   0.922       0.00       0.01       0.01      1.43
  103  JRJU01000065.1/5634-5474           161        1      171     no    120.78   0.956       0.00       0.01       0.01      1.21
  104  HF990656.1/5351-5192               160        1      171     no     72.56   0.923       0.00       0.02       0.02      2.47
  105  CYZR01000007.1/50720-50870         151        1      171     no    107.04   0.935       0.00       0.01       0.01      1.37
  106  FR885873.1/2253-2063               191        1      171     no     54.71   0.842       0.00       0.04       0.04      3.86
  107  LGGK01000010.1/18230-18024         207        1      171     no     46.74   0.910       0.00       0.20       0.21     11.73
  108  CP013476.1/1416911-1417071         161        1      171     no    116.04   0.958       0.09       0.01       0.10      1.18
  109  FRCP01000007.1/100226-100389       164        1      171     no     62.82   0.861       0.00       0.05       0.06      2.82
  110  LJJB01000015.1/307707-307537       171        1      171     no    104.56   0.918       0.00       0.01       0.02      1.35
  111  KK036471.1/12618-12769             152        1      171     no     92.65   0.916       0.00       0.02       0.02      1.65
  112  KB946293.1/815268-815121           148        1      171     no     87.14   0.955       0.05       0.02       0.07      1.70
  113  CM000733.1/138271-138426           156        1      171     no    125.84   0.957       0.00       0.01       0.02      1.14
  114  DS544193.1/167179-167332           154        1      171     no     69.01   0.874       0.01       0.04       0.05      1.85
  115  FR884524.1/6426-6580               155        1      171     no     88.62   0.943       0.01       0.04       0.05      2.37
  116  MSZX01000018.1/9414-9592           179        1      171     no     77.20   0.898       0.01       0.02       0.02      1.78
  117  LIUR01000001.1/2867186-2867016     171        1      171     no    121.70   0.934       0.01       0.01       0.02      1.31
  118  LGGM01000041.1/3335-3169           167        1      171     no    114.64   0.949       0.00       0.15       0.15      1.43
  119  LDXQ01000045.1/6263-6103           161        1      171     no     57.28   0.862       0.00       0.04       0.05      2.78
  120  CP008876.1/30453-30623             171        1      171     no    105.77   0.915       0.02       0.02       0.04      1.49
  121  MIJE01000006.1/15985-16138         154        1      171     no     92.27   0.966       0.00       0.03       0.03      1.43
  122  LGHG01000010.1/24356-24520         165        1      171     no     93.27   0.938       0.02       0.03       0.05      1.83
  123  LCFB01000013.1/24414-24224         191        1      171     no     45.77   0.891       0.01       0.12       0.12      8.36
  124  MNTE01000025.1/23261-23436         176        1      171     no     69.14   0.861       0.00       0.03       0.04      2.43
  125  LGTC01000001.1/4182649-4182857     209        1      171     no     68.57   0.948       0.01       0.08       0.08      7.26
  126  CP002390.1/1888497-1888651         155        1      171     no     90.88   0.948       0.00       0.01       0.02      1.53
  127  FTNC01000009.1/26493-26663         171        1      171     no    111.70   0.922       0.00       0.01       0.01      1.34
  128  MGNV01000076.1/11663-11928         266        1      171     no     43.99   0.845       0.01       0.21       0.22     17.90
  129  FUXA01000004.1/187467-187620       154        1      171     no     73.67   0.900       0.00       0.01       0.01      1.69
  130  LGPD01000020.1/32940-33107         168        1      171     no    120.64   0.923       0.00       0.01       0.01      1.29
  131  CP000853.1/3087410-3087240         171        1      171     no    109.55   0.913       0.00       0.01       0.01      1.38
  132  MNSV01000028.1/47281-47433         153        1      171     no     72.92   0.870       0.00       0.02       0.02      2.25
  133  LBRS01000003.1/9497-9323           175        1      171     no     74.84   0.944       0.00       0.05       0.05      5.07
  134  ALYD01000009.1/78795-78647         149        1      171     no     65.92   0.878       0.00       0.03       0.04      3.22
  135  CP001820.1/382266-382427           162        1      171     no     94.07   0.906       0.00       0.01       0.02      1.60
  136  CP005586.1/176819-176980           162        1      171     no    122.74   0.916       0.00       0.01       0.01      1.17
  137  CP014140.1/3478385-3478215         171        1      171     no    120.13   0.926       0.00       0.01       0.01      1.39
  138  AP008955.1/272884-273054           171        1      171     no    103.09   0.898       0.00       0.01       0.01      1.32
  139  BAXA01000004.1/277507-277663       157        1      171     no    105.96   0.946       0.00       0.01       0.01      1.26
  140  FWFD01000009.1/285893-285743       151        1      171     no     83.53   0.943       0.00       0.01       0.01      1.38
  141  MNYY01000078.1/5410-5585           176        1      171     no    112.18   0.917       0.00       0.01       0.02      1.60
  142  CCAX010000002.1/33155-33325        171        1      171     no    119.77   0.917       0.00       0.01       0.01      1.32
  143  AFUG01000008.1/20951-20807         145        1      171     no     76.43   0.964       0.00       0.01       0.01      1.52
  144  AKZN01000009.1/58601-58762         162        1      171     no     67.11   0.861       0.00       0.01       0.02      1.75
  145  AM180355.1/163150-163329           180        1      171     no    104.29   0.927       0.00       0.01       0.02      1.51
  146  NGKX01000001.1/1908996-1908848     149        1      171     no     84.18   0.959       0.00       0.02       0.02      2.32
  147  HF999960.1/62222-62380             159        1      171     no     49.72   0.910       0.00       0.02       0.03      2.78
  148  JNVM01000042.1/10589-10864         276        1      171     no     71.29   0.885       0.00       0.03       0.04      5.15
  149  CGIH01000032.1/34654-34485         170        1      171     no    102.33   0.944       0.00       0.02       0.02      2.55
  150  KI535340.1/441761-441609           153        1      171     no     88.84   0.954       0.00       0.02       0.02      2.13
  151  JH601133.1/313493-313346           148        1      171     no     73.89   0.940       0.00       0.02       0.02      2.11
  152  AJLS01000038.1/6735-6901           167        1      171     no    131.64   0.935       0.00       0.01       0.01      1.10
  153  JXKQ01000015.1/25759-25618         142        1      171     no     77.92   0.885       0.00       0.02       0.02      2.17
  154  FR893545.1/2424-2273               152        1      171     no     91.70   0.967       0.00       0.02       0.02      1.78
  155  CP009129.1/88529-88703             175        1      171     no    116.42   0.911       0.00       0.01       0.01      1.47
  156  AABF01000219.1/893-1039            147        1      171     no     89.32   0.883       0.00       0.01       0.02      1.53
  157  LELK01000006.1/76367-76202         166        1      171     no    122.55   0.955       0.00       0.01       0.01      1.23
  158  FUWM01000004.1/197183-197028       156        1      171     no    114.27   0.980       0.00       0.01       0.01      1.31
  159  BDHH01000002.1/274415-274268       148        1      171     no    110.48   0.967       0.00       0.01       0.01      1.30
  160  LNZR01000039.1/17734-17926         193        1      171     no     86.73   0.855       0.00       0.02       0.02      2.22
  161  MRTK01000059.1/29246-29452         207        1      171     no     61.75   0.821       0.00       0.01       0.02      2.15
  162  CP020814.1/183675-183833           159        1      171     no    126.08   0.966       0.00       0.01       0.01      1.10
  163  JQID01000071.1/30433-30271         163        1      171     no    102.49   0.941       0.00       0.01       0.01      1.29
  164  KE136389.1/1139265-1139109         157        1      171     no     93.51   0.928       0.00       0.01       0.01      1.71
  165  CP001685.1/2214429-2214604         176        1      171     no    105.90   0.925       0.00       0.01       0.01      1.68
  166  HF992498.1/72088-71938             151        1      171     no     73.28   0.889       0.00       0.02       0.02      2.73
  167  LBBT01000137.1/49374-49220         155        1      171     no    112.94   0.972       0.00       0.01       0.01      1.19
  168  FP929061.1/998927-998743           185        1      171     no     81.85   0.891       0.00       0.02       0.02      2.66
  169  CP003065.1/3475491-3475310         182        1      171     no     71.27   0.945       0.00       0.04       0.05      4.80
  170  CP000568.1/1386182-1386004         179        1      171     no     67.67   0.930       0.00       0.04       0.04      4.27
  171  LGVB01000002.1/26579-26418         162        1      171     no    118.80   0.956       0.00       0.01       0.01      1.23
  172  FR903528.1/26117-26262             146        1      171     no     73.57   0.897       0.00       0.02       0.02      2.27
  173  FQVH01000004.1/117090-117244       155        1      171     no    100.18   0.931       0.00       0.02       0.02      2.16
  174  LQQV01000056.1/6776-6946           171        1      171     no    105.00   0.898       0.00       0.02       0.02      1.40
  175  MLQQ01000005.1/80500-80327         174        1      171     no    134.60   0.929       0.00       0.02       0.02      1.32
  176  AWUK01000021.1/211615-211393       223        1      171     no     61.21   0.779       0.01       0.03       0.04      3.51
  177  LGPC01000013.1/10226-10440         215        1      171     no    134.61   0.897       0.00       0.01       0.02      1.73
  178  AL591824.1/756458-756652           195        1      171     no    150.15   0.977       0.00       0.01       0.01      1.30
  179  LN681234.1/3088607-3088445         163        1      171     no    116.06   0.969       0.00       0.01       0.01      1.24
  180  FRFD01000003.1/997812-997651       162        1      171     no     54.75   0.861       0.00       0.03       0.03      2.88
  181  BAVS01000010.1/6237-6407           171        1      171     no    107.73   0.924       0.00       0.01       0.01      1.44
  182  AE016877.1/163176-163331           156        1      171     no    121.92   0.957       0.00       0.01       0.01      1.16
  183  LSBO01000143.1/4151-4305           155        1      171     no    117.50   0.969       0.00       0.01       0.01      1.26
  184  CP003235.1/8241394-8241106         289        1      171     no     65.37   0.873       0.01       0.03       0.04      4.58
  185  HF990856.1/167-311                 145        1      171     no     86.87   0.970       0.00       0.02       0.02      1.86
  186  CP014159.1/1075910-1076048         139        1      171     no     73.88   0.940       0.00       0.03       0.03      3.03
  187  HF996636.1/3917-4094               178        1      171     no     98.00   0.890       0.00       0.02       0.02      2.06
  188  CP019698.1/446166-446314           149        1      171     no     93.60   0.932       0.00       0.01       0.01      1.33
  189  FR902223.1/26135-26281             147        1      171     no     83.18   0.959       0.00       0.02       0.02      2.50
  190  LGFQ01000007.1/6903-6742           162        1      171     no     97.20   0.897       0.00       0.01       0.01      1.48
  191  CM001240.1/576883-577263           381        1      171     no     85.12   0.815       0.01       0.03       0.03      4.09
  192  JQBS01000007.1/9970-10123          154        1      171     no    101.46   0.928       0.00       0.01       0.02      1.47
  193  MGOS01000071.1/57097-56936         162        1      171     no    103.65   0.945       0.00       0.03       0.03      1.65
  194  FXAZ01000008.1/255347-255173       175        1      171     no     84.94   0.896       0.00       0.01       0.02      1.73
  195  JXKD01000013.1/19169-19022         148        1      171     no     84.33   0.936       0.00       0.02       0.02      2.50
  196  CBML010000006.1/2100-2383          284        1      171     no     98.46   0.785       0.00       0.02       0.02      2.90
  197  AVBG01000016.1/68554-68385         170        1      171     no    128.06   0.936       0.00       0.01       0.01      1.21
  198  CP002394.1/191363-191534           172        1      171     no    137.08   0.950       0.00       0.01       0.01      1.27
  199  MSRF01000329.1/129088-128917       172        1      171     no    128.26   0.923       0.00       0.01       0.01      1.32
  200  CP000686.1/5090851-5091049         199        1      171     no     61.27   0.944       0.00       0.14       0.15      7.17
  201  AMSQ01000026.1/17267-17056         212        1      171     no    120.64   0.905       0.00       0.04       0.04      1.73
  202  JNVC02000017.1/6492-6657           166        1      171     no    122.16   0.935       0.00       0.01       0.01      1.08
  203  DS562845.1/91402-91550             149        1      171     no     86.09   0.912       0.01       0.02       0.02      2.02
  204  KB446646.1/450926-450780           147        1      171     no     90.80   0.957       0.00       0.02       0.02      2.05
  205  CP001727.1/2751601-2751441         161        1      171     no     79.49   0.918       0.00       0.01       0.01      1.61
  206  CP000813.3/186248-186423           176        1      171     no    131.97   0.920       0.00       0.01       0.01      1.25
  207  FOOE01000008.1/95909-96099         191        1      171     no    104.65   0.850       0.00       0.01       0.01      1.71
  208  CP001022.1/159274-159433           160        1      171     no     98.62   0.937       0.00       0.01       0.01      1.66
  209  CP000232.1/2349364-2349171         194        1      171     no    101.80   0.869       0.00       0.01       0.01      1.70
  210  MRTH01000061.1/16901-16646         256        1      171     no     91.24   0.811       0.00       0.03       0.03      4.04
  211  CP017603.1/666417-666254           164        1      171     no    123.26   0.960       0.00       0.01       0.01      1.28
  212  MLYR01000010.1/46506-46341         166        1      171     no    122.93   0.924       0.00       0.01       0.01      1.13
  213  FP565809.1/589201-589355           155        1      171     no     92.31   0.928       0.00       0.01       0.02      1.71
  214  LCLP01000003.1/50470-50264         207        1      171     no     58.31   0.929       0.00       0.09       0.09     10.51
  215  LMSP01000001.1/1108622-1108432     191        1      171     no     80.40   0.852       0.00       0.01       0.02      1.90
  216  CP022437.1/118667-118492           176        1      171     no    110.00   0.928       0.00       0.01       0.01      1.57
  217  AVPE01000014.1/7645-7816           172        1      171     no    113.19   0.934       0.00       0.01       0.01      1.36
  218  FP929046.1/2805761-2805924         164        1      171     no     68.48   0.857       0.00       0.03       0.03      3.54
  219  CP017269.1/4003558-4003727         170        1      171     no    103.20   0.956       0.00       0.01       0.01      1.44
  220  JPUW01000041.1/17763-17604         160        1      171     no    110.53   0.928       0.00       0.01       0.01      1.36
  221  AP009389.1/532219-532443           225        1      171     no    102.33   0.888       0.00       0.01       0.02      2.18
  222  MSDU01000050.1/2905-2737           169        1      171     no    118.27   0.965       0.00       0.01       0.01      1.24
  223  CP002582.1/2249026-2249188         163        1      171     no    109.95   0.904       0.00       0.01       0.01      1.50
  224  FQZB01000010.1/187247-187001       247        1      171     no    110.09   0.836       0.00       0.02       0.02      2.37
  225  AGUA01000050.1/53963-53748         216        1      171     no    126.48   0.845       0.00       0.01       0.02      1.85
  226  BAUO01000024.1/19105-19307         203        1      171     no     66.76   0.795       0.00       0.02       0.02      2.32
  227  AFNU02000013.1/48765-48609         157        1      171     no    112.21   0.974       0.00       0.01       0.01      1.45
  228  CYZX01000011.1/96755-96903         149        1      171     no     78.38   0.873       0.00       0.01       0.02      1.78
  229  CP002160.1/4453071-4452920         152        1      171     no     97.07   0.924       0.00       0.01       0.01      1.80
  230  FQZV01000045.1/2253-2084           170        1      171     no     99.15   0.946       0.00       0.01       0.01      1.51
  231  LFZV01000001.1/3925782-3925615     168        1      171     no    107.95   0.943       0.00       0.01       0.01      1.39
  232  CP012602.1/5255826-5255657         170        1      171     no    123.79   0.957       0.00       0.01       0.01      1.33
  233  LGGS01000011.1/3658-3835           178        1      171     no    111.54   0.935       0.00       0.01       0.01      1.56
  234  ADVG01000001.1/3494837-3494672     166        1      171     no     70.11   0.890       0.00       0.01       0.01      1.75
  235  GG695991.1/62597-62306             292        1      171     no     70.97   0.850       0.00       0.05       0.05      6.00
  236  ADAD01000161.1/21370-21523         154        1      171     no     92.49   0.948       0.01       0.03       0.04      2.23
  237  NGMM01000006.1/231638-231488       151        1      171     no     83.33   0.925       0.01       0.03       0.04      1.80
  238  HF952018.1/555531-555680           150        1      171     no    105.53   0.949       0.00       0.06       0.07      1.28
  239  FWWT01000008.1/91906-91757         150        1      171     no     94.55   0.953       0.01       0.02       0.03      1.49
  240  KQ960182.1/197341-197483           143        1      171     no     72.16   0.934       0.01       0.05       0.06      2.18
  241  LFXJ01000002.1/211365-211536       172        1      171     no    108.55   0.933       0.00       0.01       0.02      1.39
  242  AFDH01000094.1/4534-4317           218        1      171     no     83.66   0.808       0.01       0.02       0.03      2.97
  243  CVUF01000004.1/78416-78202         215        1      171     no    135.40   0.902       0.00       0.01       0.02      1.63
  244  CP004121.1/2373835-2374124         290        1      171     no     93.58   0.730       0.00       0.03       0.03      2.96
  245  ADGQ01000065.1/9509-9658           150        1      171     no     83.52   0.907       0.00       0.02       0.02      1.81
  246  CP009284.1/6220054-6219837         218        1      171     no     60.77   0.800       0.00       0.02       0.02      2.36
  247  CP006643.1/179476-179637           162        1      171     no    135.24   0.950       0.00       0.01       0.01      1.12
  248  MEUP01000152.1/3739-3611           129        1      171     no     56.66   0.867       0.00       0.03       0.03      3.18
  249  BAVR01000082.1/1656-1832           177        1      171     no     72.13   0.921       0.00       0.04       0.04      3.87
  250  JXAL01000010.1/4533-4366           168        1      171     no     87.36   0.923       0.00       0.01       0.02      1.51
  251  FNDC01000023.1/9716-9892           177        1      171     no    111.13   0.920       0.00       0.01       0.01      1.39
  252  CP003344.1/648238-648406           169        1      171     no    109.41   0.907       0.00       0.01       0.01      1.37
  253  LCFF01000007.1/6709-6502           208        1      171     no     57.14   0.974       0.00       0.28       0.28     12.04
  254  CP013659.2/3364803-3364979         177        1      171     no    114.88   0.908       0.00       0.02       0.02      1.54
  255  LGUG01000009.1/292806-292636       171        1      171     no    116.72   0.950       0.00       0.02       0.02      1.32
  256  AEUN01000016.1/17836-18052         217        1      171     no    137.86   0.886       0.01       0.01       0.02      1.70
  257  CP002028.1/394105-394273           169        1      171     no    110.14   0.906       0.02       0.02       0.04      1.55
  258  KB946311.1/44810-44664             147        1      171     no     76.33   0.926       0.00       0.03       0.04      1.97
  259  JPVT01000127.1/16428-16576         149        1      171     no     89.29   0.933       0.01       0.03       0.04      1.86
  260  FQUY01000006.1/44217-44066         152        1      171     no     93.23   0.935       0.00       0.02       0.02      1.90
  261  LGPB01000138.1/2413-2287           127        1      171     no     84.20   0.886       0.00       0.01       0.02      1.59
  262  MGOT01000033.1/280-472             193        1      171     no     64.49   0.908       0.00       0.07       0.07      6.19
  263  AP012050.1/453294-453149           146        1      171     no     81.22   0.850       0.00       0.02       0.03      2.41
  264  CAKP01000001.1/8370-8216           155        1      171     no    105.02   0.949       0.00       0.01       0.01      1.29
  265  CP004121.1/308015-308376           362        1      171     no     96.02   0.818       0.01       0.03       0.03      3.77
  266  FR897947.1/46356-46210             147        1      171     no     78.35   0.926       0.00       0.02       0.02      2.22
  267  CP003355.1/3717492-3717235         258        1      171     no     82.20   0.784       0.01       0.03       0.04      4.20
  268  MXQD01000036.1/111702-111493       210        1      171     no     64.87   0.781       0.00       0.02       0.02      2.28
  269  CP002207.1/3817723-3817894         172        1      171     no    139.04   0.928       0.00       0.01       0.01      1.15
  270  FR887372.1/27689-27543             147        1      171     no     66.25   0.862       0.00       0.02       0.03      2.78
  271  FP929050.1/1787764-1787981         218        1      171     no     74.72   0.858       0.00       0.03       0.03      3.15
  272  MAYV01000002.1/76081-75927         155        1      171     no    111.64   0.970       0.00       0.01       0.01      1.17
  273  AAWL01000008.1/56204-56362         159        1      171     no     94.07   0.942       0.00       0.01       0.01      1.34
  274  GL397071.1/1017910-1017768         143        1      171     no     72.01   0.892       0.00       0.02       0.02      2.41
  275  LHUR01000022.1/308140-307852       289        1      171     no    102.95   0.755       0.00       0.02       0.03      2.96
