#                                                                                                             running time (s)                 
#                                                                                                      -------------------------------          
# idx  seq name                                     length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  -------------------------------------------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   66  LV_Brine_h2_0102_1106580/398-327                 72        1       69     no     63.79   0.977       0.00       0.00       0.00      0.31
   67  LV_Brine_h2_0102_1025233/1043-1114               72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   68  LV_Brine_h2_0102_1073350/371-442                 72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   69  LV_Brine_h2_0102_1138196/337-266                 72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   70  JGI1221J11331_1059400/632-703                    72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   71  JGI1221J11331_1117900/236-307                    72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   72  JGI1221J11331_1150576/348-277                    72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   73  JGI1221J11331_1275448/97-168                     72        1       69     no     65.13   0.977       0.00       0.00       0.00      0.31
   74  JGI1221J11331_1165748/277-206                    72        1       69     no     57.43   0.985       0.00       0.00       0.00      0.39
   75  JGI1221J11331_1061686/25-96                      72        1       69     no     61.32   0.985       0.00       0.00       0.00      0.35
   76  JGI1221J11331_1180005/153-224                    72        1       69     no     61.32   0.985       0.00       0.00       0.00      0.35
   77  JGI1221J11331_1170754/98-27                      72        1       69     no     61.71   0.985       0.00       0.00       0.00      0.35
   78  JGI1221J11331_1259002/4-75                       72        1       69     no     61.71   0.985       0.00       0.00       0.00      0.35
   79  LV_Brine_h2_0102_1044599/535-606                 72        1       69     no     61.71   0.985       0.00       0.00       0.00      0.35
   80  LV_Brine_h2_0102_1189767/59-130                  72        1       69     no     61.71   0.985       0.00       0.00       0.00      0.35
   81  LV_Brine_h2_0102_1105188/179-108                 72        1       69     no     62.18   0.989       0.00       0.00       0.00      0.33
   82  LV_Brine_h2_0102_1065239/110-39                  72        1       69     no     61.91   0.986       0.00       0.00       0.00      0.35
   83  LV_Brine_h2_0102_1223096/94-23                   72        1       69     no     61.52   0.986       0.00       0.00       0.00      0.35
   84  JGI1221J11331_1096283/156-85                     72        1       69     no     61.52   0.986       0.00       0.00       0.00      0.35
   85  JGI1221J11331_1113305/340-411                    72        1       69     no     61.52   0.986       0.00       0.00       0.00      0.35
   86  LV_Brine_h2_0102_1122788/110-181                 72        1       69     no     65.63   0.986       0.00       0.00       0.00      0.34
   87  CAM_READ_0073996105/149-222                      74        1       69     no     53.08   0.949       0.00       0.00       0.00      0.35
   88  NZ_KE159636.1/1296634-1296569                    66        1       69     no     57.05   0.997       0.00       0.00       0.00      0.27
   89  SRS016335_WUGC_scaffold_3018/6945-7019           75        1       69     no     58.90   0.954       0.00       0.00       0.00      0.38
   90  SRS011134_C5190756/5041-5115                     75        1       69     no     64.50   0.942       0.00       0.00       0.00      0.36
   91  HCF12C_432283/525-453                            73        1       69     no     64.34   0.951       0.00       0.00       0.00      0.35
   92  GQKUMWE02HV346/99-37                             63        1       69     no     61.98   0.987       0.00       0.00       0.00      0.31
   93  UnmappedStool_Broad_C253190914/334-265           70        1       69     no     54.42   0.972       0.00       0.00       0.00      0.32
   94  4491686.3.1035342/144-77                         68        1       69     no     42.62   0.938       0.00       0.00       0.00      0.34
   95  Cons3363/610-674                                 65        1       69     no     48.02   0.974       0.00       0.00       0.00      0.40
   96  BS_KBA_SWE12_21m_c10003972/4908-4974             67        1       69     no     48.80   0.979       0.00       0.00       0.00      0.29
   97  BS_KBB_SWE26_205m_c1005738/236-302               67        1       69     no     48.80   0.979       0.00       0.00       0.00      0.29
   98  BS_KBA_SWE21_205m_10018871/123-189               67        1       69     no     48.80   0.979       0.00       0.00       0.00      0.29
   99  4443755.3.16945/856-790                          67        1       69     no     66.26   0.973       0.00       0.00       0.00      0.29
  100  SS_2KS_010_SOIL_10138716/270-329                 60        1       69     no     42.40   0.952       0.00       0.00       0.00      0.32
  101  JCVI_SCAF_1096627282973/604-676                  73        1       69     no     63.20   0.957       0.00       0.00       0.00      0.33
  102  LV_Brine_h2_0102_1013080/567-641                 75        1       69     no     68.65   0.945       0.00       0.00       0.00      0.34
  103  JGI1221J11331_1054253/559-633                    75        1       69     no     68.65   0.945       0.00       0.00       0.00      0.34
  104  LV_Brine_h2_0102_1043459/52-126                  75        1       69     no     64.22   0.944       0.00       0.00       0.00      0.34
  105  LV_Brine_h2_0102_1184373/141-67                  75        1       69     no     64.22   0.944       0.00       0.00       0.00      0.34
  106  JGI1221J11331_1096924/320-246                    75        1       69     no     64.22   0.944       0.00       0.00       0.00      0.34
  107  JGI1221J11331_1271491/209-135                    75        1       69     no     64.22   0.944       0.00       0.00       0.00      0.34
  108  SakLake120mDRAFT_c0146681/468-532                65        1       69     no     45.84   0.994       0.00       0.00       0.00      0.44
  109  NZ_KB850948.1/59623-59690                        68        1       69     no     57.10   0.957       0.00       0.00       0.00      0.34
  110  NZ_JH126431.1/675858-675926                      69        1       69     no     59.48   0.975       0.00       0.00       0.00      0.31
  111  NZ_JH126431.1/674396-674459                      64        1       69     no     44.48   0.969       0.00       0.00       0.00      0.38
  112  UnmappedStool_Broad_C251605930/153-90            64        1       69     no     44.48   0.969       0.00       0.00       0.00      0.38
  113  BABE01011365.1/336-273                           64        1       69     no     46.47   0.970       0.00       0.00       0.00      0.33
  114  NZ_JH126438.1/131374-131437                      64        1       69     no     47.63   0.970       0.00       0.00       0.00      0.33
  115  NZ_JH126431.1/674694-674757                      64        1       69     no     51.59   0.969       0.00       0.00       0.00      0.36
  116  SRMUA_GNVGR9Q01DSTSU/165-230                     66        1       69     no     55.29   0.976       0.00       0.00       0.00      0.30
  117  SRMUA_GNVGR9Q01C7FRF/137-202                     66        1       69     no     55.29   0.976       0.00       0.00       0.00      0.30
  118  20090826-Illumina_contig18230/1096-1158          63        1       69     no     57.18   0.994       0.00       0.00       0.00      0.33
  119  20090826-454-04636/52-114                        63        1       69     no     56.57   0.987       0.00       0.00       0.00      0.34
  120  HCF12C_58327/607-676                             70        1       69     no     57.71   0.977       0.00       0.00       0.00      0.29
  121  JGI1221J11331_1160579/245-180                    66        1       69     no     55.82   0.976       0.00       0.00       0.00      0.25
  122  LV_Brine_h2_0102_1010669/716-652                 65        1       69     no     56.41   0.968       0.00       0.00       0.00      0.25
  123  DelMOSum2011_c10143506/88-15                     74        1       69     no     51.28   0.944       0.00       0.00       0.00      0.36
  124  2236876011_199011/191-265                        75        1       69     no     58.19   0.946       0.00       0.00       0.00      0.36
  125  TB03JUN2009E__Contig_1742/3706-3645              62        1       69     no     51.88   0.972       0.00       0.00       0.00      0.31
  126  SL_9KL_010_SED_10016581/2058-1995                64        1       69     no     43.44   0.973       0.00       0.00       0.00      0.38
  127  SL_5KL_010_SED_10271490/83-146                   64        1       69     no     43.44   0.973       0.00       0.00       0.00      0.38
  128  JCVI_SCAF_1096627282643/1909-1844                66        1       69     no     55.34   0.991       0.00       0.00       0.00      0.30
  129  JGI20151J14362_10358429/154-219                  66        1       69     no     55.97   0.960       0.00       0.00       0.00      0.30
  130  DelMOSum2011_c10190679/380-304                   77        1       69     no     54.12   0.943       0.00       0.00       0.00      0.39
  131  JGI20158J14315_10119576/350-274                  77        1       69     no     54.12   0.943       0.00       0.00       0.00      0.39
  132  JGI20158J14315_10061369/429-503                  75        1       69     no     59.74   0.948       0.00       0.00       0.00      0.32
  133  2236876008_087079/451-526                        76        1       69     no     56.03   0.948       0.00       0.00       0.00      0.35
  134  hsmat10_BHWZ5893_b1/33-98                        66        1       69     no     65.48   0.959       0.00       0.00       0.00      0.26
  135  4491411.3_NODE_2292/10252-10180                  73        1       69     no     59.84   0.964       0.00       0.00       0.00      0.34
  136  BS_KBB_SWE26_205m_c1114943/205-297               93        1       69     no     65.49   0.936       0.00       0.00       0.00      0.46
  137  BS_KBA_SWE21_205m_10011277/391-299               93        1       69     no     65.49   0.936       0.00       0.00       0.00      0.46
  138  UnmappedStool_Broad_C253707410/188-258           71        1       69     no     45.18   0.952       0.00       0.00       0.00      0.37
  139  JCVI_SCAF_1101668203871/1459-1527                69        1       69     no     64.93   0.999       0.00       0.00       0.00      0.25
  140  2200549695/164-238                               75        1       69     no     59.40   0.949       0.00       0.00       0.00      0.37
  141  2200577302/190-116                               75        1       69     no     58.36   0.949       0.00       0.00       0.00      0.37
  142  2200585061/239-167                               73        1       69     no     59.57   0.961       0.00       0.00       0.00      0.31
  143  NC_022075.1/2220898-2220835                      64        1       69     no     50.38   0.995       0.00       0.00       0.00      0.27
  144  HCF12C_320053/96-167                             72        1       69     no     63.36   0.961       0.00       0.00       0.00      0.32
  145  DelMOWin2010_c10038451/1308-1238                 71        1       69     no     65.83   0.978       0.00       0.00       0.00      0.26
  146  DelMOSum2010_c10735312/95-165                    71        1       69     no     65.44   0.978       0.00       0.00       0.00      0.25
  147  DelMOSum2011_c10572556/105-175                   71        1       69     no     65.44   0.978       0.00       0.00       0.00      0.25
  148  HCF12C_274322/908-835                            74        1       69     no     65.07   0.948       0.00       0.00       0.00      0.36
  149  2210751650/13-82                                 70        1       69     no     72.15   0.979       0.00       0.00       0.00      0.27
  150  MA55A_contig05477/738-811                        74        1       69     no     70.36   0.959       0.00       0.00       0.00      0.29
  151  MA55A_contig08797/616-685                        70        1       69     no     71.31   0.964       0.00       0.00       0.00      0.27
  152  07_22_CONTROL_DNA_scaffold15_2/8286-8360         75        1       69     no     61.39   0.951       0.00       0.00       0.00      0.36
  153  SRS017521_Baylor_scaffold_10780/853-918          66        1       69     no     54.47   0.997       0.00       0.00       0.00      0.34
  154  2227465196/1896-1831                             66        1       69     no     61.04   0.995       0.00       0.00       0.00      0.33
  155  scaffold49553_1_MH0073/1882-1948                 67        1       69     no     65.26   0.993       0.00       0.00       0.00      0.32
  156  scaffold73362_4_V1.CD-3/830-764                  67        1       69     no     65.26   0.993       0.00       0.00       0.00      0.32
  157  IMNBGM34_c151206/235-168                         68        1       69     no     54.67   0.951       0.00       0.00       0.00      0.29
  158  DelMOSum2011_c10143506/350-281                   70        1       69     no     60.95   0.969       0.00       0.00       0.00      0.25
  159  DelMOWin2010_c10038451/1642-1573                 70        1       69     no     60.95   0.969       0.00       0.00       0.00      0.25
  160  CAM_READ_0233656431/240-311                      72        1       69     no     53.73   0.978       0.00       0.00       0.00      0.31
  161  DelMOWin2010_c10165569/495-425                   71        1       69     no     63.04   0.978       0.00       0.00       0.00      0.25
  162  JGI20158J14315_10003281/10035-9965               71        1       69     no     63.04   0.978       0.00       0.00       0.00      0.25
  163  NZ_KB822441.1/114687-114619                      69        1       69     no     63.91   0.966       0.00       0.00       0.00      0.28
  164  HCF12C_238140/703-777                            75        1       69     no     60.00   0.933       0.00       0.00       0.00      0.35
  165  JCVI_SCAF_1101667160699/678-746                  69        1       69     no     66.98   0.997       0.00       0.00       0.00      0.28
  166  DelMOSum2011_c10243708/203-138                   66        1       69     no     66.54   0.981       0.00       0.00       0.00      0.27
  167  JGI20158J14315_10061369/838-902                  65        1       69     no     59.62   0.986       0.00       0.00       0.00      0.26
  168  JGI20158J14315_10461146/166-102                  65        1       69     no     63.33   0.983       0.00       0.00       0.00      0.25
  169  DelMOWin2010_c10055187/1267-1331                 65        1       69     no     58.64   0.979       0.00       0.00       0.00      0.26
  170  ASLM90b_GN81PCX02FZMYL/194-262                   69        1       69     no     57.47   0.955       0.00       0.00       0.00      0.28
  171  4491686.3.10008/504-416                          89        1       69     no     51.95   0.908       0.00       0.00       0.00      0.50
  172  4491686.3.17948/957-1049                         93        1       69     no     38.09   0.930       0.00       0.00       0.00      0.52
  173  4491686.3.998753/968-1060                        93        1       69     no     38.09   0.930       0.00       0.00       0.00      0.52
  174  4491686.3.108502/420-512                         93        1       69     no     41.44   0.933       0.00       0.00       0.00      0.55
  175  4491686.3.999063/431-523                         93        1       69     no     41.44   0.933       0.00       0.00       0.00      0.55
  176  scaffold98128_3_O2.UC-19/1499-1431               69        1       69     no     64.03   0.996       0.00       0.00       0.00      0.35
  177  scaffold21525_5_MH0006/17445-17372               74        1       69     no     53.82   0.948       0.00       0.00       0.00      0.43
  178  scaffold10333_8_MH0045/28750-28679               72        1       69     no     63.29   0.974       0.00       0.00       0.00      0.32
  179  2236876008_085075/435-369                        67        1       69     no     64.75   0.948       0.00       0.00       0.00      0.29
  180  ATED1026_contig02474/648-582                     67        1       69     no     62.18   0.994       0.00       0.00       0.00      0.27
  181  HCF12C_417696/1174-1248                          75        1       69     no     59.04   0.943       0.00       0.00       0.00      0.35
  182  taComm3_FNHH23846_b1/24-92                       69        1       69     no     48.22   0.955       0.00       0.00       0.00      0.33
  183  JGI11944J13513_1024738/825-893                   69        1       69     no     48.22   0.955       0.00       0.00       0.00      0.33
  184  UnmappedStool_Broad_C253507050/903-826           78        1       69     no     57.91   0.936       0.00       0.00       0.00      0.40
  185  4491686.3.1035342/835-768                        68        1       69     no     60.06   0.972       0.00       0.00       0.00      0.29
  186  2210131864/415-345                               71        1       69     no     66.59   0.960       0.00       0.00       0.00      0.30
  187  4491686.3.975250/101-170                         70        1       69     no     60.63   0.985       0.00       0.00       0.00      0.23
  188  NZ_AJLV01000017.1/3565-3628                      64        1       69     no     53.68   0.956       0.00       0.00       0.00      0.30
  189  NZ_GL635726.1/957831-957768                      64        1       69     no     54.13   0.961       0.00       0.00       0.00      0.29
  190  NZ_AOFM01000019.1/88362-88300                    63        1       69     no     53.76   0.994       0.00       0.00       0.00      0.31
  191  NZ_AMWQ01000046.1/28115-28052                    64        1       69     no     55.92   0.973       0.00       0.00       0.00      0.30
  192  NZ_AVEZ01000043.1/65123-65186                    64        1       69     no     55.92   0.973       0.00       0.00       0.00      0.30
  193  NC_014828.1/1057607-1057686                      80        1       69     no     43.10   0.887       0.00       0.00       0.00      0.37
  194  JGI20151J14362_10121394/452-383                  70        1       69     no     55.86   0.980       0.00       0.00       0.00      0.31
  195  JCVI_SCAF_1096627282973/1474-1546                73        1       69     no     66.02   0.953       0.00       0.00       0.00      0.37
  196  DelMOSum2011_c10617154/81-153                    73        1       69     no     66.02   0.953       0.00       0.00       0.00      0.37
  197  NC_022530.1/1712961-1713028                      68        1       69     no     68.87   0.986       0.00       0.00       0.00      0.27
  198  P_1C_Liq_1_UnCty_1037907/341-411                 71        1       69     no     71.61   0.973       0.00       0.00       0.00      0.27
  199  4491686.3.520525/224-156                         69        1       69     no     64.74   0.967       0.00       0.00       0.00      0.27
  200  08_19_CONTROL_DNA_scaffold60306_3/2611-2677      67        1       69     no     52.55   0.975       0.00       0.00       0.00      0.29
  201  scaffold675_9_MH0084/11535-11601                 67        1       69     no     68.68   0.963       0.00       0.00       0.00      0.24
  202  SRS020233_C4272895/5268-5334                     67        1       69     no     57.29   0.964       0.00       0.00       0.00      0.25
  203  SRS024331_LANL_scaffold_21581/199-133            67        1       69     no     54.63   0.964       0.00       0.00       0.00      0.26
  204  scaffold93880_2_V1.CD-13/1006-940                67        1       69     no     54.95   0.964       0.00       0.00       0.00      0.30
  205  SRS018313_C7959630/1354-1288                     67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  206  NC_021035.1/241377-241311                        67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  207  scaffold2452_3_MH0059/820-754                    67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  208  scaffold38202_3_MH0067/1117-1051                 67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  209  SRS015217_WUGC_scaffold_6606/22618-22552         67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  210  scaffold75779_2_MH0083/145-79                    67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  211  SRS015133_WUGC_scaffold_4781/25233-25167         67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  212  SRS017103_C2708552/549-483                       67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  213  SRS051882_C2566519/1380-1314                     67        1       69     no     60.63   0.964       0.00       0.00       0.00      0.25
  214  SRS064276_C2334391/189-125                       65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  215  4491482.3_NODE_591/1533-1469                     65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  216  SRS018817_WUGC_scaffold_27459/794-730            65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  217  SRS024435_LANL_scaffold_29402/17796-17860        65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  218  scaffold10334_1_MH0057/20982-21046               65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  219  SRS017521_Baylor_scaffold_36944/3573-3509        65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  220  UnmappedStool_Broad_scaffold_588930/144-80       65        1       69     no     58.49   0.981       0.00       0.00       0.00      0.27
  221  scaffold79235_2_MH0009/387-451                   65        1       69     no     63.12   0.981       0.00       0.00       0.00      0.25
  222  scaffold31750_6_MH0010/325-389                   65        1       69     no     63.12   0.981       0.00       0.00       0.00      0.25
  223  scaffold74987_3_MH0075/1063-1127                 65        1       69     no     63.12   0.981       0.00       0.00       0.00      0.25
  224  scaffold71822_4_V1.UC-8/8766-8702                65        1       69     no     63.12   0.981       0.00       0.00       0.00      0.25
  225  scaffold106379_3_MH0056/455-388                  68        1       69     no     59.33   0.993       0.00       0.00       0.00      0.34
  226  2013446707/241-175                               67        1       69     no     57.63   0.973       0.00       0.00       0.00      0.28
  227  SRS014613_WUGC_scaffold_32789/1328-1256          73        1       69     no     60.36   0.963       0.00       0.00       0.00      0.32
  228  4491411.3_NODE_2292/12166-12098                  69        1       69     no     60.23   0.980       0.00       0.00       0.00      0.27
  229  topACOD_F95O9CU01EQNT3/361-423                   63        1       69     no     55.03   0.995       0.00       0.00       0.00      0.37
  230  scaffold12257_11_MH0034/589-525                  65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  231  scaffold7862_2_MH0067/10080-10144                65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  232  SRS011134_C5168087/2051-2115                     65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  233  SRS019685_WUGC_scaffold_14409/411-475            65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  234  4491407.3_NODE_12617/8523-8587                   65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  235  NZ_DS499580.1/466353-466289                      65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  236  scaffold4652_9_MH0008/927-863                    65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  237  scaffold99943_1_V1.CD-13/3252-3316               65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  238  SRS018133_Baylor_scaffold_3418/589-525           65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  239  SRS024625_LANL_scaffold_23498/102-38             65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  240  NLM032_scaffold41293_5/1838-1902                 65        1       69     no     64.75   0.994       0.00       0.00       0.00      0.27
  241  AJWY01005482.1/272-208                           65        1       69     no     58.62   0.993       0.00       0.00       0.00      0.28
  242  scaffold5700_12_MH0071/8112-8048                 65        1       69     no     57.45   0.994       0.00       0.00       0.00      0.28
  243  scaffold47895_2_MH0051/566-630                   65        1       69     no     63.85   0.997       0.00       0.00       0.00      0.28
  244  SRS063040_Baylor_scaffold_20738/370-434          65        1       69     no     59.76   0.997       0.00       0.00       0.00      0.30
  245  4491407.3_NODE_2979/6355-6419                    65        1       69     no     62.63   0.994       0.00       0.00       0.00      0.26
  246  SRS016203_C1567008/141-206                       66        1       69     no     68.30   0.963       0.00       0.00       0.00      0.25
  247  SRS017521_C2797136/307-372                       66        1       69     no     56.17   0.962       0.00       0.00       0.00      0.28
  248  SRS014235_C3526264/713-648                       66        1       69     no     61.52   0.962       0.00       0.00       0.00      0.27
  249  MA40A_GDRVJ9S02I7AH5_left/87-21                  67        1       69     no     60.25   0.992       0.00       0.00       0.00      0.32
  250  RUMENNODE_3955907_1/33998-33918                  81        1       69     no     48.75   0.845       0.00       0.00       0.00      0.47
  251  NZ_AJWW01000041.1/33611-33543                    69        1       69     no     72.94   0.998       0.00       0.00       0.00      0.23
  252  AF_2010_repII_A1_10114911/9-79                   71        1       69     no     67.82   0.958       0.00       0.00       0.00      0.32
