#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    27  seq26         71        1       69     no     83.10   0.986       0.00       0.00       0.00      0.21
    28  seq27         71        1       69     no     66.99   0.981       0.00       0.00       0.00      0.27
    29  seq28         71        1       69     no     71.78   0.987       0.00       0.00       0.00      0.26
    30  seq29         71        1       69     no     74.98   0.980       0.00       0.00       0.00      0.21
    31  seq30         71        1       69     no     75.21   0.978       0.00       0.00       0.00      0.23
    32  seq31         71        1       69     no     77.02   0.973       0.00       0.00       0.00      0.21
    33  seq32         71        1       69     no     71.72   0.983       0.00       0.00       0.00      0.27
    34  seq33         71        1       69     no     78.51   0.974       0.00       0.00       0.00      0.22
    35  seq34         72        1       69     no     67.06   0.975       0.00       0.00       0.00      0.27
    36  seq35         71        1       69     no     66.93   0.980       0.00       0.00       0.00      0.28
    37  seq36         71        1       69     no     66.46   0.978       0.00       0.00       0.00      0.24
    38  seq37         71        1       69     no     68.76   0.974       0.00       0.00       0.00      0.32
    39  seq38         71        1       69     no     76.05   0.973       0.00       0.00       0.00      0.29
    40  seq39         71        1       69     no     75.61   0.970       0.00       0.00       0.00      0.24
    41  seq40         71        1       69     no     75.20   0.966       0.00       0.00       0.00      0.23
    42  seq41         71        1       69     no     70.36   0.973       0.00       0.00       0.00      0.28
    43  seq42         71        1       69     no     75.32   0.977       0.00       0.00       0.00      0.21
    44  seq43         71        1       69     no     73.61   0.968       0.00       0.00       0.00      0.30
    45  seq44         71        1       69     no     74.06   0.984       0.00       0.00       0.00      0.22
    46  seq45         71        1       69     no     75.34   0.978       0.00       0.00       0.00      0.23
    47  seq46         71        1       69     no     74.47   0.978       0.00       0.00       0.00      0.27
    48  seq47         71        1       69     no     76.49   0.975       0.00       0.00       0.00      0.20
    49  seq48         71        1       69     no     75.63   0.973       0.00       0.00       0.00      0.24
    50  seq49         71        1       69     no     70.07   0.980       0.00       0.00       0.00      0.27
    51  seq50         71        1       69     no     72.00   0.976       0.00       0.00       0.00      0.28
    52  seq51         71        1       69     no     79.90   0.967       0.00       0.00       0.00      0.23
    53  seq52         71        1       69     no     70.69   0.971       0.00       0.00       0.00      0.27
    54  seq53         71        1       69     no     69.48   0.978       0.00       0.00       0.00      0.23
    55  seq54         71        1       69     no     72.02   0.975       0.00       0.00       0.00      0.26
    56  seq55         71        1       69     no     76.47   0.974       0.00       0.00       0.00      0.25
    57  seq56         71        1       69     no     78.58   0.975       0.00       0.00       0.00      0.25
    58  seq57         71        1       69     no     67.98   0.973       0.00       0.00       0.00      0.29
    59  seq58         71        1       69     no     77.51   0.981       0.00       0.00       0.00      0.24
    60  seq59         71        1       69     no     78.07   0.978       0.00       0.00       0.00      0.21
    61  seq60         71        1       69     no     74.56   0.978       0.00       0.00       0.00      0.20
    62  seq61         71        1       69     no     69.08   0.976       0.00       0.00       0.00      0.27
    63  seq62         71        1       69     no     73.84   0.975       0.00       0.00       0.00      0.24
    64  seq63         71        1       69     no     76.82   0.977       0.00       0.00       0.00      0.24
    65  seq64         71        1       69     no     72.24   0.979       0.00       0.00       0.00      0.28
    66  seq65         71        1       69     no     72.98   0.972       0.00       0.00       0.00      0.23
    67  seq66         71        1       69     no     74.53   0.978       0.00       0.00       0.00      0.23
    68  seq67         71        1       69     no     79.67   0.982       0.00       0.00       0.00      0.22
    69  seq68         71        1       69     no     72.80   0.982       0.00       0.00       0.00      0.30
    70  seq69         72        1       69     no     75.13   0.978       0.00       0.00       0.00      0.28
    71  seq70         71        1       69     no     81.39   0.984       0.00       0.00       0.00      0.23
    72  seq71         71        1       69     no     70.07   0.980       0.00       0.00       0.00      0.27
    73  seq72         71        1       69     no     75.87   0.982       0.00       0.00       0.00      0.23
    74  seq73         71        1       69     no     73.52   0.964       0.00       0.00       0.00      0.24
    75  seq74         72        1       69     no     78.11   0.976       0.00       0.00       0.00      0.22
    76  seq75         72        1       69     no     76.93   0.973       0.00       0.00       0.00      0.24
    77  seq76         71        1       69     no     74.64   0.977       0.00       0.00       0.00      0.28
    78  seq77         71        1       69     no     68.61   0.981       0.00       0.00       0.00      0.29
    79  seq78         71        1       69     no     76.03   0.978       0.00       0.00       0.00      0.28
    80  seq79         72        1       69     no     76.56   0.977       0.00       0.00       0.00      0.26
    81  seq80         71        1       69     no     78.88   0.975       0.00       0.00       0.00      0.24
    82  seq81         71        1       69     no     77.46   0.982       0.00       0.00       0.00      0.26
    83  seq82         71        1       69     no     73.57   0.978       0.00       0.00       0.00      0.22
    84  seq83         71        1       69     no     62.38   0.967       0.00       0.00       0.00      0.23
    85  seq84         71        1       69     no     48.03   0.965       0.00       0.00       0.00      0.36
    86  seq85         71        1       69     no     50.35   0.970       0.00       0.00       0.00      0.27
    87  seq86         71        1       69     no     72.38   0.977       0.00       0.00       0.00      0.31
    88  seq87         71        1       69     no     75.00   0.982       0.00       0.00       0.00      0.24
    89  seq88         71        1       69     no     68.82   0.978       0.00       0.00       0.00      0.27
    90  seq89         71        1       69     no     63.93   0.966       0.00       0.00       0.00      0.24
    91  seq90         72        1       69     no     73.75   0.982       0.00       0.00       0.00      0.28
    92  seq91         71        1       69     no     68.42   0.970       0.00       0.00       0.00      0.31
    93  seq92         71        1       69     no     75.79   0.978       0.00       0.00       0.00      0.23
    94  seq93         71        1       69     no     72.53   0.975       0.00       0.00       0.00      0.26
    95  seq94         71        1       69     no     72.78   0.977       0.00       0.00       0.00      0.28
    96  seq95         71        1       69     no     63.18   0.977       0.00       0.00       0.00      0.35
    97  seq96         71        1       69     no     68.61   0.977       0.00       0.00       0.00      0.29
    98  seq97         71        1       69     no     67.66   0.986       0.00       0.00       0.00      0.34
    99  seq98         71        1       69     no     73.29   0.975       0.00       0.00       0.00      0.21
   100  seq99         71        1       69     no     73.26   0.973       0.00       0.00       0.00      0.32
   101  seq100        72        1       69     no     71.39   0.981       0.00       0.00       0.00      0.25
   102  seq101        71        1       69     no     73.47   0.975       0.00       0.00       0.00      0.26
   103  seq102        71        1       69     no     76.21   0.979       0.00       0.00       0.00      0.27
   104  seq103        71        1       69     no     68.38   0.980       0.00       0.00       0.00      0.29
   105  seq104        71        1       69     no     71.82   0.981       0.00       0.00       0.00      0.26
   106  seq105        71        1       69     no     75.95   0.978       0.00       0.00       0.00      0.24
   107  seq106        71        1       69     no     77.15   0.977       0.00       0.00       0.00      0.24
   108  seq107        72        1       69     no     66.84   0.974       0.00       0.00       0.00      0.32
   109  seq108        71        1       69     no     78.42   0.978       0.00       0.00       0.00      0.26
   110  seq109        71        1       69     no     71.82   0.978       0.00       0.00       0.00      0.29
   111  seq110        71        1       69     no     75.22   0.980       0.00       0.00       0.00      0.26
   112  seq111        71        1       69     no     70.12   0.986       0.00       0.00       0.00      0.27
   113  seq112        71        1       69     no     78.82   0.980       0.00       0.00       0.00      0.26
   114  seq113        71        1       69     no     77.44   0.978       0.00       0.00       0.00      0.24
   115  seq114        71        1       69     no     75.35   0.964       0.00       0.00       0.00      0.21
   116  seq115        71        1       69     no     78.09   0.979       0.00       0.00       0.00      0.21
   117  seq116        71        1       69     no     80.85   0.970       0.00       0.00       0.00      0.25
   118  seq117        84       17       69     no     -7.34   0.925       0.00       0.01       0.01      2.03
   119  seq118        71        1       69     no     78.51   0.966       0.00       0.00       0.00      0.25
   120  seq119        71        1       69     no     79.59   0.987       0.00       0.00       0.00      0.21
   121  seq120        71        1       69     no     74.87   0.980       0.00       0.00       0.00      0.26
   122  seq121        71        1       69     no     70.78   0.977       0.00       0.00       0.00      0.27
   123  seq122        71        1       69     no     80.19   0.978       0.00       0.00       0.00      0.22
   124  seq123        71        1       69     no     76.96   0.982       0.00       0.00       0.00      0.22
   125  seq124        71        1       69     no     70.69   0.975       0.00       0.00       0.00      0.25
   126  seq125        71        1       69     no     77.41   0.973       0.00       0.00       0.00      0.24
   127  seq126        71        1       69     no     77.43   0.983       0.00       0.00       0.00      0.30
   128  seq127        84        1       69     no     15.03   0.684       0.00       0.01       0.01      0.99
   129  seq128        71        1       69     no     83.65   0.976       0.00       0.00       0.00      0.21
   130  seq129        71        1       69     no     75.74   0.978       0.00       0.00       0.00      0.30
   131  seq130        71        1       69     no     69.63   0.984       0.00       0.00       0.00      0.22
   132  seq131        71        1       69     no     78.18   0.983       0.00       0.00       0.00      0.26
   133  seq132        71        1       69     no     76.45   0.984       0.00       0.00       0.00      0.21
   134  seq133        71        1       69     no     78.47   0.975       0.00       0.00       0.00      0.21
   135  seq134        71        1       69     no     76.19   0.977       0.00       0.00       0.00      0.22
   136  seq135        71        1       69     no     67.02   0.983       0.00       0.00       0.00      0.24
   137  seq136        71        1       69     no     72.59   0.980       0.00       0.00       0.00      0.24
   138  seq137        71        1       69     no     77.28   0.973       0.00       0.00       0.00      0.21
   139  seq138        71        1       69     no     74.75   0.980       0.00       0.00       0.00      0.21
   140  seq139        71        1       69     no     72.81   0.977       0.00       0.00       0.00      0.25
   141  seq140        71        1       69     no     77.87   0.973       0.00       0.00       0.00      0.22
   142  seq141        71        1       69     no     72.46   0.980       0.00       0.00       0.00      0.30
   143  seq142        71        1       69     no     81.01   0.971       0.00       0.00       0.00      0.22
   144  seq143        71        1       69     no     76.89   0.980       0.00       0.00       0.00      0.23
   145  seq144        71        1       69     no     75.14   0.977       0.00       0.00       0.00      0.27
   146  seq145        71        1       69     no     80.82   0.978       0.00       0.00       0.00      0.28
   147  seq146        71        1       69     no     78.84   0.976       0.00       0.00       0.00      0.22
   148  seq147        71        1       69     no     77.24   0.970       0.00       0.00       0.00      0.26
   149  seq148        71        1       69     no     70.56   0.981       0.00       0.00       0.00      0.28
   150  seq149        71        1       69     no     73.25   0.975       0.00       0.00       0.00      0.22
   151  seq150        71        1       69     no     76.47   0.978       0.00       0.00       0.00      0.23
   152  seq151        71        1       69     no     80.44   0.980       0.00       0.00       0.00      0.21
   153  seq152        71        1       69     no     70.13   0.976       0.00       0.00       0.00      0.32
   154  seq153        71        1       69     no     72.94   0.976       0.00       0.00       0.00      0.28
   155  seq154        71        1       69     no     76.42   0.978       0.00       0.00       0.00      0.23
   156  seq155        71        1       69     no     80.62   0.980       0.00       0.00       0.00      0.24
   157  seq156        71        1       69     no     74.71   0.977       0.00       0.00       0.00      0.25
   158  seq157        84        1       22     no      6.44   0.850       0.00       0.01       0.01      1.80
   159  seq158        71        1       69     no     70.87   0.982       0.00       0.00       0.00      0.30
   160  seq159        71        1       69     no     72.75   0.975       0.00       0.00       0.00      0.26
   161  seq160        72        1       69     no     72.34   0.971       0.00       0.00       0.00      0.27
   162  seq161        71        1       69     no     79.32   0.977       0.00       0.00       0.00      0.23
   163  seq162        71        1       69     no     77.71   0.979       0.00       0.00       0.00      0.22
   164  seq163        71        1       69     no     77.68   0.976       0.00       0.00       0.00      0.22
   165  seq164        71        1       69     no     76.65   0.977       0.00       0.00       0.00      0.22
   166  seq165        71        1       69     no     72.63   0.975       0.00       0.00       0.00      0.21
   167  seq166        71        1       69     no     77.75   0.977       0.00       0.00       0.00      0.24
   168  seq167        71        1       69     no     71.38   0.980       0.00       0.00       0.00      0.24
   169  seq168        71        1       69     no     75.22   0.981       0.00       0.00       0.00      0.25
   170  seq169        71        1       69     no     77.06   0.975       0.00       0.00       0.00      0.29
   171  seq170        71        1       69     no     75.04   0.977       0.00       0.00       0.00      0.21
   172  seq171        71        1       69     no     73.83   0.977       0.00       0.00       0.00      0.21
   173  seq172        71        1       69     no     82.05   0.977       0.00       0.00       0.00      0.21
   174  seq173        71        1       69     no     80.75   0.978       0.00       0.00       0.00      0.23
   175  seq174        71        1       69     no     63.60   0.960       0.00       0.00       0.00      0.27
   176  seq175        71        1       69     no     77.44   0.978       0.00       0.00       0.00      0.26
   177  seq176        71        1       69     no     74.11   0.979       0.00       0.00       0.00      0.22
   178  seq177        71        1       69     no     73.20   0.975       0.00       0.00       0.00      0.21
   179  seq178        71        1       69     no     81.27   0.975       0.00       0.00       0.00      0.22
   180  seq179        71        1       69     no     62.66   0.979       0.00       0.00       0.00      0.30
   181  seq180        71        1       69     no     64.24   0.965       0.00       0.00       0.00      0.30
   182  seq181        72        1       69     no     70.23   0.978       0.00       0.00       0.00      0.29
   183  seq182        71        1       69     no     68.60   0.977       0.00       0.00       0.00      0.29
   184  seq183        71        1       69     no     67.88   0.977       0.00       0.00       0.00      0.29
   185  seq184        71        1       69     no     76.68   0.976       0.00       0.00       0.00      0.23
   186  seq185        71        1       69     no     77.37   0.967       0.00       0.00       0.00      0.24
   187  seq186        71        1       69     no     77.02   0.973       0.00       0.00       0.00      0.24
   188  seq187        71        1       69     no     82.51   0.985       0.00       0.00       0.00      0.21
   189  seq188        71        1       69     no     78.10   0.978       0.00       0.00       0.00      0.24
   190  seq189        71        1       69     no     78.44   0.967       0.00       0.00       0.00      0.27
   191  seq190        71        1       69     no     83.15   0.977       0.00       0.00       0.00      0.21
   192  seq191        71        1       69     no     77.72   0.978       0.00       0.00       0.00      0.26
   193  seq192        71        1       69     no     75.69   0.977       0.00       0.00       0.00      0.25
   194  seq193        71        1       69     no     78.41   0.973       0.00       0.00       0.00      0.22
   195  seq194        71        1       69     no     68.52   0.975       0.00       0.00       0.00      0.32
   196  seq195        71        1       69     no     78.59   0.975       0.00       0.00       0.00      0.24
   197  seq196        71        1       69     no     75.35   0.975       0.00       0.00       0.00      0.23
   198  seq197        71        1       69     no     74.59   0.980       0.00       0.00       0.00      0.21
   199  seq198        71        1       69     no     72.97   0.981       0.00       0.00       0.00      0.26
   200  seq199        71        1       69     no     75.19   0.975       0.00       0.00       0.00      0.24
   201  seq200        71        1       69     no     73.57   0.980       0.00       0.00       0.00      0.22
   202  seq201        71        1       69     no     79.58   0.980       0.00       0.00       0.00      0.21
   203  seq202        71        1       69     no     73.58   0.972       0.00       0.00       0.00      0.24
   204  seq203        71        1       69     no     71.13   0.978       0.00       0.00       0.00      0.30
   205  seq204        71        1       69     no     68.00   0.975       0.00       0.00       0.00      0.26
   206  seq205        71        1       69     no     76.56   0.978       0.00       0.00       0.00      0.24
   207  seq206        71        1       69     no     74.40   0.963       0.00       0.00       0.00      0.22
   208  seq207        71        1       69     no     81.03   0.975       0.00       0.00       0.00      0.21
   209  seq208        71        1       69     no     80.53   0.980       0.00       0.00       0.00      0.21
   210  seq209        71        1       69     no     71.69   0.984       0.00       0.00       0.00      0.23
   211  seq210        71        1       69     no     70.99   0.975       0.00       0.00       0.00      0.29
   212  seq211        71        1       69     no     69.77   0.982       0.00       0.00       0.00      0.22
   213  seq212        71        1       69     no     74.28   0.978       0.00       0.00       0.00      0.23
   214  seq213        71        1       69     no     74.67   0.982       0.00       0.00       0.00      0.22
   215  seq214        71        1       69     no     80.67   0.982       0.00       0.00       0.00      0.24
   216  seq215        71        1       69     no     75.46   0.979       0.00       0.00       0.00      0.29
   217  seq216        71        1       69     no     60.62   0.968       0.00       0.00       0.00      0.25
   218  seq217        71        1       69     no     76.37   0.976       0.00       0.00       0.00      0.22
   219  seq218        78        1       69     no     33.48   0.918       0.00       0.00       0.00      0.43
   220  seq219        71        1       69     no     79.86   0.973       0.00       0.00       0.00      0.27
   221  seq220        71        1       69     no     76.09   0.983       0.00       0.00       0.00      0.26
   222  seq221        80        1       69     no     25.92   0.875       0.00       0.00       0.01      0.58
   223  seq222        71        1       69     no     75.93   0.978       0.00       0.00       0.00      0.24
   224  seq223       105        1       69     no     -0.08   0.926       0.00       0.02       0.02      2.80
   225  seq224        71        1       69     no     70.49   0.974       0.00       0.00       0.00      0.29
   226  seq225        72        1       69     no     72.18   0.963       0.00       0.00       0.00      0.29
   227  seq226        72        1       69     no     70.89   0.980       0.00       0.00       0.00      0.31
   228  seq227        71        1       69     no     79.11   0.976       0.00       0.00       0.00      0.24
   229  seq228        72        1       69     no     73.19   0.978       0.00       0.00       0.00      0.23
   230  seq229        71        1       69     no     71.78   0.980       0.00       0.00       0.00      0.25
   231  seq230        71        1       69     no     77.60   0.982       0.00       0.00       0.00      0.23
   232  seq231        71        1       69     no     81.37   0.980       0.00       0.00       0.00      0.20
   233  seq232        71        1       69     no     76.72   0.981       0.00       0.00       0.00      0.26
   234  seq233        71        1       69     no     62.31   0.968       0.00       0.00       0.00      0.26
   235  seq234        71        1       69     no     71.09   0.970       0.00       0.00       0.00      0.30
   236  seq235        71        1       69     no     76.26   0.977       0.00       0.00       0.00      0.23
   237  seq236        71        1       69     no     71.88   0.972       0.00       0.00       0.00      0.25
   238  seq237        71        1       69     no     78.40   0.965       0.00       0.00       0.00      0.24
   239  seq238        71        1       69     no     79.48   0.973       0.00       0.00       0.00      0.23
   240  seq239        71        1       69     no     75.81   0.972       0.00       0.00       0.00      0.27
   241  seq240        71        1       69     no     71.68   0.983       0.00       0.00       0.00      0.26
   242  seq241        71        1       69     no     74.32   0.973       0.00       0.00       0.00      0.24
   243  seq242        80        1       69     no     25.68   0.887       0.00       0.01       0.01      1.09
   244  seq243        71        1       69     no     73.97   0.974       0.00       0.00       0.00      0.23
   245  seq244        71        1       69     no     71.70   0.978       0.00       0.00       0.00      0.22
   246  seq245        71        1       69     no     69.00   0.981       0.00       0.00       0.00      0.29
   247  seq246        71        1       69     no     69.96   0.977       0.00       0.00       0.00      0.26
   248  seq247        71        1       69     no     76.63   0.973       0.00       0.00       0.00      0.21
   249  seq248        71        1       69     no     81.67   0.978       0.00       0.00       0.00      0.20
   250  seq249        83        1       69     no     27.41   0.910       0.00       0.00       0.00      0.81
   251  seq250        71        1       69     no     80.33   0.980       0.00       0.00       0.00      0.24
   252  seq251        71        1       69     no     73.09   0.982       0.00       0.00       0.00      0.26
   253  seq252        71        1       69     no     79.77   0.980       0.00       0.00       0.00      0.21
   254  seq253        71        1       69     no     74.90   0.981       0.00       0.00       0.00      0.26
   255  seq254        71        1       69     no     78.04   0.975       0.00       0.00       0.00      0.21
   256  seq255        71        1       69     no     72.86   0.978       0.00       0.00       0.00      0.24
   257  seq256        71        1       69     no     73.92   0.974       0.00       0.00       0.00      0.23
   258  seq257        71        1       69     no     76.76   0.984       0.00       0.00       0.00      0.25
   259  seq258        71        1       69     no     74.28   0.975       0.00       0.00       0.00      0.25
   260  seq259        72        1       69     no     73.51   0.981       0.00       0.00       0.00      0.23
   261  seq260        71        1       69     no     72.60   0.983       0.00       0.00       0.00      0.26
   262  seq261        71        1       69     no     76.72   0.977       0.00       0.00       0.00      0.21
   263  seq262        71        1       69     no     74.42   0.973       0.00       0.00       0.00      0.24
   264  seq263        71        1       69     no     73.62   0.975       0.00       0.00       0.00      0.24
   265  seq264        71        1       69     no     72.54   0.973       0.00       0.00       0.00      0.31
   266  seq265        71        1       69     no     80.87   0.973       0.00       0.00       0.00      0.24
   267  seq266        71        1       69     no     69.63   0.981       0.00       0.00       0.00      0.25
   268  seq267        71        1       69     no     72.89   0.981       0.00       0.00       0.00      0.24
   269  seq268        71        1       69     no     70.86   0.977       0.00       0.00       0.00      0.29
   270  seq269        71        1       69     no     64.55   0.978       0.00       0.00       0.00      0.31
   271  seq270        71        1       69     no     81.11   0.980       0.00       0.00       0.00      0.23
   272  seq271        71        1       69     no     80.99   0.978       0.00       0.00       0.00      0.21
   273  seq272        71        1       69     no     80.66   0.965       0.00       0.00       0.00      0.24
   274  seq273        71        1       69     no     71.32   0.980       0.00       0.00       0.00      0.23
   275  seq274        71        1       69     no     78.05   0.980       0.00       0.00       0.00      0.23
   276  seq275        71        1       69     no     71.43   0.969       0.00       0.00       0.00      0.28
   277  seq276        71        1       69     no     71.62   0.981       0.00       0.00       0.00      0.23
   278  seq277        71        1       69     no     75.66   0.975       0.00       0.00       0.00      0.21
   279  seq278        72        1       69     no     72.54   0.978       0.00       0.00       0.00      0.24
   280  seq279        71        1       69     no     74.93   0.976       0.00       0.00       0.00      0.23
   281  seq280        71        1       69     no     72.22   0.982       0.00       0.00       0.00      0.26
   282  seq281        71        1       69     no     71.63   0.980       0.00       0.00       0.00      0.28
   283  seq282        71        1       69     no     81.71   0.980       0.00       0.00       0.00      0.22
   284  seq283        71        1       69     no     74.42   0.978       0.00       0.00       0.00      0.24
   285  seq284        71        1       69     no     73.47   0.980       0.00       0.00       0.00      0.29
   286  seq285        71        1       69     no     67.26   0.977       0.00       0.00       0.00      0.27
   287  seq286        71        1       69     no     78.06   0.978       0.00       0.00       0.00      0.29
   288  seq287        71        1       69     no     74.94   0.978       0.00       0.00       0.00      0.23
   289  seq288        71        1       69     no     79.86   0.980       0.00       0.00       0.00      0.20
   290  seq289        72        1       69     no     71.37   0.974       0.00       0.00       0.00      0.24
   291  seq290        71        1       69     no     80.52   0.974       0.00       0.00       0.00      0.23
   292  seq291        71        1       69     no     69.03   0.962       0.00       0.00       0.00      0.31
   293  seq292        71        1       69     no     78.16   0.983       0.00       0.00       0.00      0.24
   294  seq293        71        1       69     no     77.34   0.980       0.00       0.00       0.00      0.20
   295  seq294        71        1       69     no     76.66   0.978       0.00       0.00       0.00      0.25
   296  seq295        71        1       69     no     71.11   0.976       0.00       0.00       0.00      0.29
   297  seq296        71        1       69     no     73.21   0.970       0.00       0.00       0.00      0.32
   298  seq297        71        1       69     no     69.89   0.971       0.00       0.00       0.00      0.26
   299  seq298        71        1       69     no     76.41   0.977       0.00       0.00       0.00      0.21
   300  seq299        71        1       69     no     80.66   0.976       0.00       0.00       0.00      0.23
   301  seq300        71        1       69     no     64.13   0.972       0.00       0.00       0.00      0.30
   302  seq301        71        1       69     no     74.44   0.980       0.00       0.00       0.00      0.24
   303  seq302        74        1       69     no     69.61   0.933       0.00       0.00       0.00      0.24
   304  seq303        72        1       69     no     66.76   0.967       0.00       0.00       0.00      0.28
   305  seq304        71        1       69     no     71.53   0.974       0.00       0.00       0.00      0.22
   306  seq305        71        1       69     no     70.94   0.970       0.00       0.00       0.00      0.29
   307  seq306        71        1       69     no     71.99   0.983       0.00       0.00       0.00      0.25
   308  seq307        71        1       69     no     72.49   0.975       0.00       0.00       0.00      0.24
   309  seq308        71        1       69     no     74.35   0.973       0.00       0.00       0.00      0.30
   310  seq309        71        1       69     no     78.41   0.978       0.00       0.00       0.00      0.23
   311  seq310        71        1       69     no     69.27   0.981       0.00       0.00       0.00      0.25
   312  seq311        71        1       69     no     76.96   0.974       0.00       0.00       0.00      0.23
   313  seq312        71        1       69     no     71.06   0.980       0.00       0.00       0.00      0.27
   314  seq313        71        1       69     no     71.98   0.976       0.00       0.00       0.00      0.24
   315  seq314        71        1       69     no     77.49   0.981       0.00       0.00       0.00      0.22
   316  seq315        71        1       69     no     76.02   0.977       0.00       0.00       0.00      0.22
   317  seq316        71        1       69     no     70.59   0.987       0.00       0.00       0.00      0.24
   318  seq317        71        1       69     no     78.56   0.981       0.00       0.00       0.00      0.24
   319  seq318        71        1       69     no     77.56   0.978       0.00       0.00       0.00      0.27
   320  seq319        71        1       69     no     60.01   0.978       0.00       0.00       0.00      0.23
   321  seq320        71        1       69     no     69.21   0.987       0.00       0.00       0.00      0.31
   322  seq321        75        1       69     no     51.84   0.909       0.00       0.00       0.00      0.45
   323  seq322        71        1       69     no     71.26   0.967       0.00       0.00       0.00      0.26
   324  seq323        71        1       69     no     68.18   0.969       0.00       0.00       0.00      0.21
   325  seq324        71        1       69     no     74.87   0.973       0.00       0.00       0.00      0.25
   326  seq325        71        1       69     no     79.46   0.974       0.00       0.00       0.00      0.22
   327  seq326        82        1       69     no     38.03   0.830       0.00       0.00       0.00      0.72
   328  seq327        71        1       69     no     73.76   0.982       0.00       0.00       0.00      0.27
   329  seq328        71        1       69     no     72.69   0.978       0.00       0.00       0.00      0.25
   330  seq329        71        1       69     no     71.86   0.983       0.00       0.00       0.00      0.26
   331  seq330        71        1       69     no     77.44   0.977       0.00       0.00       0.00      0.23
   332  seq331        71        1       69     no     81.08   0.977       0.00       0.00       0.00      0.21
   333  seq332        71        1       69     no     76.98   0.982       0.00       0.00       0.00      0.25
   334  seq333        71        1       69     no     74.51   0.971       0.00       0.00       0.00      0.24
   335  seq334        71        1       69     no     81.38   0.980       0.00       0.00       0.00      0.21
   336  seq335        71        1       69     no     75.34   0.980       0.00       0.00       0.00      0.24
   337  seq336        71        1       69     no     80.79   0.977       0.00       0.00       0.00      0.22
   338  seq337        71        1       69     no     73.06   0.985       0.00       0.00       0.00      0.22
   339  seq338        71        1       69     no     58.99   0.950       0.00       0.00       0.00      0.26
   340  seq339        71        1       69     no     76.13   0.978       0.00       0.00       0.00      0.23
   341  seq340        71        1       69     no     79.85   0.983       0.00       0.00       0.00      0.20
   342  seq341        71        1       69     no     76.03   0.975       0.00       0.00       0.00      0.28
   343  seq342        71        1       69     no     70.88   0.975       0.00       0.00       0.00      0.22
   344  seq343        71        1       69     no     72.47   0.982       0.00       0.00       0.00      0.28
   345  seq344        71        1       69     no     80.52   0.970       0.00       0.00       0.00      0.22
   346  seq345        72        1       69     no     64.57   0.978       0.00       0.00       0.00      0.28
   347  seq346        71        1       69     no     77.05   0.980       0.00       0.00       0.00      0.25
   348  seq347        71        1       69     no     77.21   0.978       0.00       0.00       0.00      0.23
   349  seq348        72        1       69     no     72.25   0.980       0.00       0.00       0.00      0.25
   350  seq349        71        1       69     no     78.35   0.971       0.00       0.00       0.00      0.23
   351  seq350        77        1       69     no     36.62   0.858       0.00       0.00       0.00      0.41
   352  seq351        73        1       69     no     64.96   0.936       0.00       0.00       0.00      0.25
